code,year,jiscode,region,city_category,pop,finance_index,expenditure,expenditure_social_welfare,lfp_male,lfp_female,olfp_male,oldp_female,lfp_rate_female,expenditure_social_welfare_rate
2015100000 ,2015 ,1404 ,北海道 神恵内村,3 ,1004 ,0 ,22 ,3 ,300 ,185 ,128 ,313 ,0.37149 ,0.12442 
2015100000 ,2015 ,1405 ,北海道 積丹町,3 ,2115 ,0 ,35 ,11 ,641 ,447 ,255 ,569 ,0.43996 ,0.32203 
2015100000 ,2015 ,1406 ,北海道 古平町,3 ,3188 ,0 ,38 ,9 ,910 ,720 ,475 ,826 ,0.46572 ,0.23421 
2015100000 ,2015 ,1407 ,北海道 仁木町,3 ,3498 ,0 ,37 ,10 ,936 ,966 ,500 ,724 ,0.57160 ,0.28184 
2015100000 ,2015 ,1408 ,北海道 余市町,3 ,19607 ,0 ,88 ,27 ,5182 ,4304 ,2787 ,5281 ,0.44903 ,0.30464 
2015100000 ,2015 ,1409 ,北海道 赤井川村,3 ,1121 ,0 ,21 ,3 ,384 ,272 ,119 ,207 ,0.56785 ,0.13659 
2015100000 ,2015 ,1423 ,北海道 南幌町,3 ,7927 ,0 ,62 ,10 ,2295 ,1866 ,1018 ,1927 ,0.49196 ,0.15806 
2015100000 ,2015 ,1424 ,北海道 奈井江町,3 ,5674 ,0 ,49 ,9 ,1523 ,1158 ,852 ,1622 ,0.41655 ,0.19136 
2015100000 ,2015 ,1425 ,北海道 上砂川町,3 ,3479 ,0 ,39 ,8 ,766 ,569 ,683 ,1194 ,0.32275 ,0.20051 
2015100000 ,2015 ,1427 ,北海道 由仁町,3 ,5314 ,0 ,50 ,9 ,1556 ,1278 ,694 ,1242 ,0.50714 ,0.17166 
2015100000 ,2015 ,1428 ,北海道 長沼町,3 ,11076 ,0 ,80 ,14 ,3338 ,2697 ,1306 ,2468 ,0.52217 ,0.17728 
2015100000 ,2015 ,1429 ,北海道 栗山町,3 ,12344 ,0 ,87 ,20 ,3308 ,2755 ,1711 ,3103 ,0.47030 ,0.22529 
2015100000 ,2015 ,1430 ,北海道 月形町,3 ,4577 ,0 ,37 ,8 ,1009 ,743 ,1681 ,862 ,0.46293 ,0.22520 
2015100000 ,2015 ,1431 ,北海道 浦臼町,3 ,1985 ,0 ,38 ,4 ,587 ,459 ,251 ,465 ,0.49675 ,0.09763 
2015100000 ,2015 ,1432 ,北海道 新十津川町,3 ,6831 ,0 ,56 ,10 ,1818 ,1505 ,902 ,1828 ,0.45155 ,0.18133 
2015100000 ,2015 ,1433 ,北海道 妹背牛町,3 ,3091 ,0 ,33 ,6 ,851 ,657 ,455 ,854 ,0.43481 ,0.18462 
2015100000 ,2015 ,1434 ,北海道 秩父別町,3 ,2513 ,0 ,31 ,5 ,660 ,544 ,406 ,676 ,0.44590 ,0.14791 
2015100000 ,2015 ,1436 ,北海道 雨竜町,3 ,2749 ,0 ,36 ,6 ,711 ,579 ,471 ,725 ,0.44402 ,0.15642 
2015100000 ,2015 ,1437 ,北海道 北竜町,3 ,1981 ,0 ,35 ,4 ,577 ,446 ,276 ,499 ,0.47196 ,0.11111 
2015100000 ,2015 ,1438 ,北海道 沼田町,3 ,3181 ,0 ,51 ,10 ,934 ,736 ,431 ,795 ,0.48073 ,0.19527 
2015100000 ,2015 ,1452 ,北海道 鷹栖町,3 ,7018 ,0 ,53 ,12 ,1864 ,1609 ,884 ,1566 ,0.50677 ,0.22095 
2015100000 ,2015 ,1453 ,北海道 東神楽町,3 ,10233 ,0 ,56 ,15 ,2784 ,2370 ,1107 ,2206 ,0.51792 ,0.26212 
2015100000 ,2015 ,1454 ,北海道 当麻町,3 ,6689 ,0 ,55 ,12 ,1832 ,1590 ,887 ,1657 ,0.48968 ,0.21053 
